"titleId","title"
"ZbZdruDel.1990-06-13.s002-01.toc-item25","Osnutek zakona o predčasnem odplačilu obveznosti iz komercialnih kreditov do ZSSR, ki dospejo v letu 1989 in v naslednjih letih (20. točka dnevnega reda - strogo zaupno)"
"ZbZdruDel.1990-06-13.s002-01.toc-item26","Osnutek zakona o garanciji federacije za obveznosti Sklada za financiranje povečanja zaposlenosti v manj razvitih in izrazito emigracijskih območjih SFRJ iz posojila Sklada za reintegracijo Evropskega sveta (21. točka dnevnega reda)"
"ZbZdruDel.1990-06-13.s002-01.toc-item27","Osnutek zakona o posebnem zveznem davku od prometa proizvodov in storitev za financiranje Jugoslovanske ljudske armade v letu 1990 (22. točka dnevnega reda)"
"ZbZdruDel.1990-06-13.s002-01.toc-item28","Proceduralne zadeve"
"ZbZdruDel.1990-06-13.s002-01.toc-item29","Osnutek zakona o spremembah in dopolnitvah zakona o obdavčenju proizvodov in storitev v prometu (23. točka dnevnega reda)"
"ZbZdruDel.1990-06-13.s002-01.toc-item30","Osnutek zakona o supergaranciji federacije za obveznosti Stopanske banke a.d., Skopje, kot garanta za II. posojilo Evropske investicijske banke za financiranje modernizacije magistralne železniške smeri Jesenice - Sežana; Gevgelija - Dimitrovgrad (24. točka dnevnega reda); Osnutek zakona o supergaranciji federacije za obveznosti Privredne banke d.d., Zagreb, kot garanta za VI. posojilo Evropske investicijske banke za delno financiranje graditve posameznih odsekov avtomobilske ceste "Bratstvo in enotnost" s priključnimi cestami (25. točka dnevnega reda); Osnutek zakona o supergaranciji federacije za obveznosti Ljubljanske banke d.d. kot garanta za VI. posojilo Evropske investicijske banke za delno financiranje graditve posameznih odsekov avtomobilske ceste "Bratstvo in enotnost" s priključnimi cestami (26. točka dnevnega reda); Osnutek zakona o supergaranciji federacije za obveznosti Stopanske banke a.d., Skopje, kot garanta za VI. posojilo Evropske investicijske banke za delno financiranje graditve posameznih odsekov avtomobilske ceste "Bratstvo in enotnost" s priključnimi cestami (27. točka dnevnega reda) (Točke 24., 25., in 27. obravnavane in sprejete v paketu.)"
"ZbZdruDel.1990-06-13.s002-01.toc-item31","Osnutek zakona o valorizaciji sredstev, ki so jih vplačale republike in avtonomni pokrajini za leto 1989 za odpravo posledic katastrofalnega potresa, ki je prizadel območje Socialistične republike Črne gore v letu 1979 (28. točka dnevnega reda)"
"ZbZdruDel.1990-06-13.s002-01.toc-item32","Predlog zakona o spremembah in dopolnitvah zakona o zagotavljanju sredstev za skupne družbene potrebe v letu 1990 in o poračunu določenih obveznosti iz dohodka za skupne in splošne družbene potrebe za leto 1989 (29. točka dnevnega reda)"
"ZbZdruDel.1990-06-14.s002-02.toc-item1","Ugotavljanje prisotnosti delegatov"
"ZbZdruDel.1990-06-14.s002-02.toc-item2","Proceduralne zadeve in obvestila"
"ZbZdruDel.1990-06-14.s002-02.toc-item3","Nadaljevanje 29. točke dnevnega reda"
"ZbZdruDel.1990-06-14.s002-02.toc-item4","Protest liberalne stranke do nekulturnega obnašanja dr. Rajka Pirnata"
"ZbZdruDel.1990-06-14.s002-02.toc-item5","Nadaljevanje 29. točke dnevnega reda"
"ZbZdruDel.1990-06-14.s002-02.toc-item6","Informacija o nekaterih problemih izvajanja finančnih obveznosti Republike Slovenije do federacije (30. točka dnevnega reda)"
"ZbZdruDel.1990-06-14.s002-02.toc-item7","Osnutek zakona o dopolnitvi zakona o sredstvih sklada federacije za kreditiranje hitrejšega razvoja gospodarsko manj razvitih republik in avtonomnih pokrajin v obdobju 1986 - 1990 (31. točka dnevnega reda)"
"ZbZdruDel.1990-06-14.s002-02.toc-item8","Predlog dopolnitev začasnega poslovnika Skupščine Republike Slovenije (32. točka dnevnega reda)"
"ZbZdruDel.1990-06-14.s002-02.toc-item9","Poročilo medzborovske usklajevalne skupine k 16., 18., 19. in 20. točki dnevnega reda (ta je strogo zaupna)"
"ZbZdruDel.1990-06-14.s002-02.toc-item10","Predlog za razširitev dnevnih redov vseh zborov Skupščine RS s predlogom za sprejem zakona o spremembi zakona o RTV Slovenija po hitrem postopku"
"ZbZdruDel.1990-06-14.s002-02.toc-item11","Ugotavljanje prisotnosti delegatov"
"ZbZdruDel.1990-06-14.s002-02.toc-item12","Predlog zakona o spremembi zakona o RTV Slovenija"
"ZbZdruDel.1990-06-14.s002-02.toc-item13","Pobude, predlogi in vprašanja delegatov Zbora združenega dela (34. točka dnevnega reda)"
"ZbZdruDel.1990-07-02.s003-01.toc-item1","Ugotovitev prisotnosti delegatov"
"ZbZdruDel.1990-07-02.s003-01.toc-item2","Določitev dnevnega reda"
"ZbZdruDel.1990-07-02.s003-01.toc-item3","Odobritev osnutka zapisnika 2. seje (1. točka dnevnega reda)"
