"orgId","type of session","number","date","notBefore","notAfter","persId","chairman","spId","nodeId","titleId","taxonomyIds","topicIds","type","text string"
"parl.DruzPolZb","seja",23,"","","","",0,"DruzPolZb.1991-08-28.s023-03.sp-237","DruzPolZb.1991-08-28.s023-03.sp-237.1",DruzPolZb.1991-08-28.s023-03.toc-item1,"","","speaker","PREDSEDNIK DR. LUDVIK TOPLAK:"
"parl.DruzPolZb","seja",23,"","","","ToplakLudvik1942",1,"DruzPolZb.1991-08-28.s023-03.sp-237","DruzPolZb.1991-08-28.s023-03.sp-237.2",DruzPolZb.1991-08-28.s023-03.toc-item1,"taxonomy.3.9.5.3.3","topic.416","utterance","Zboru predlagam, da v skladu s 305. členom poslovnika Skupščine Republike Slovenije opravimo ponovno obravnavo PREDLOGA ZAKONA O DELNEM POVRAČILU ŠKODE, POVZROČENE Z VOJAŠKO AGRESIJO V SLOVENIJI."
"parl.DruzPolZb","seja",23,"","","","ToplakLudvik1942",1,"DruzPolZb.1991-08-28.s023-03.sp-237","DruzPolZb.1991-08-28.s023-03.sp-237.3",DruzPolZb.1991-08-28.s023-03.toc-item1,"taxonomy.3.9.5.3.3","topic.416","utterance","Prosim poročevalca delovne skupine Janeza Kopača."
"parl.DruzPolZb","seja",23,"","","","",0,"DruzPolZb.1991-08-28.s023-03.sp-238","DruzPolZb.1991-08-28.s023-03.sp-238.1",DruzPolZb.1991-08-28.s023-03.toc-item1,"","","speaker","JANEZ KOPAČ:"
"parl.DruzPolZb","seja",23,"","","","KopacJanez1961",0,"DruzPolZb.1991-08-28.s023-03.sp-238","DruzPolZb.1991-08-28.s023-03.sp-238.2",DruzPolZb.1991-08-28.s023-03.toc-item1,"taxonomy.3.9.5.3.3","topic.416","utterance","Spoštovani! Verjetno se mnogi spominjate vseh tistih proceduralnih slalomov, ki smo jih skupaj naredili 1. avgusta zato, da smo sprejeli identičen tekst kot ga je sprejel Zbor združenega dela, da bi bil zakon o delnem povračilu škode, povzročene z vojaško agresijo v Sloveniji sprejet. No, potem se je zgodilo, da Zbor občin ni bil sklepčen in zakon pač ni bil sprejet. Zdaj je ta zakon sprejel tudi Zbor občin. Sprejel ga je z novimi amandmaji Izvršnega sveta, novimi amandmaji Zakonodajno-pravne komisije in pa z amandmaji Odbora za proračun in javne finance, s katerimi ste že bili seznanjeni 1. avgusta in za katere smo se potem takrat s tistim proceduralnim slalolom odločili, da jih potegnemo nazaj in da predlagamo Izvršnemu svetu, da prinese na današnjo sejo predlog zakona o spremembi zakona o delnem povračilu škode. Ker pa zakon potem ni bil sprejet na Zboru občin, Izvršni svet tega ni mogel narediti. Zato je Zbor občin danes sprejel amandmaje, tudi te od Odbora za proračun in javne finance, in potem se je sestala delovna skupina za usklajevanje in zdaj vam bom prebral, kaj predlagamo Družbenopolitičnemu zboru, katere amandmaje naj sprejme, zato da bodo potem teksti identični. Prav to zadevo, kot naj bi jo mi danes sprejeli, mora potem sprejeti tudi Zbor združenega dela, Zbor občin pa je to še vse sprejel."
"parl.DruzPolZb","seja",23,"","","","KopacJanez1961",0,"DruzPolZb.1991-08-28.s023-03.sp-238","DruzPolZb.1991-08-28.s023-03.sp-238.3",DruzPolZb.1991-08-28.s023-03.toc-item1,"taxonomy.3.9.5.3.3","topic.416","utterance","Če dovolite, usklajevalna skupina oziroma skupna komisija za pripravo sporazumnega predloga k predlogu zakona o spremembah in dopolnitvah zakona o delnem povračilu vojne škode predlaga, da Družbenopolitični zbor sprejme amandma k 1. členu zakona. Ta amandma je predlagala Zakonodajno-pravna komisija in ta amandma pravi, da se tretji odstavek zakona črta. Tretji odstavek zakona je nekoliko dvoumen in ta amandma je bolj ali manj redakcijske narave. Potem predlagamo, da zbor sprejme k 2. členu amandma Odbora za proračun in javne finance, ki se glasi: za besedama ""od pokojnin"" se dodajo besede ""ter katastrskega dohodka"". Gre za redakcijski amandma."
"parl.DruzPolZb","seja",23,"","","","KopacJanez1961",0,"DruzPolZb.1991-08-28.s023-03.sp-238","DruzPolZb.1991-08-28.s023-03.sp-238.4",DruzPolZb.1991-08-28.s023-03.toc-item1,"taxonomy.3.9.5.3.3","topic.416","utterance","K 17. členu naj bi zbor sprejel amandma Odbora za proračun in javne finance, ki se glasi, ima daljši tekst, govori pa o tem, da se v zvezi z zamudo pri vplačilu teh prispevkov uporabljajo iste določbe kot velja to pri zakonu o prometnem davku."
"parl.DruzPolZb","seja",23,"","","","KopacJanez1961",0,"DruzPolZb.1991-08-28.s023-03.sp-238","DruzPolZb.1991-08-28.s023-03.sp-238.5",DruzPolZb.1991-08-28.s023-03.toc-item1,"taxonomy.3.9.5.3.3","topic.416","utterance","K 18. členu naj bi zbor sprejel amandma Zakonodajno-pravne komisije, ki se glasi: V začetku besedila se namesto besed ""višina škode"" vstavi besedilo ""neposredna škoda in njena višina"". Gre tudi za redakcijski amandma."
"parl.DruzPolZb","seja",23,"","","","KopacJanez1961",0,"DruzPolZb.1991-08-28.s023-03.sp-238","DruzPolZb.1991-08-28.s023-03.sp-238.6",DruzPolZb.1991-08-28.s023-03.toc-item1,"taxonomy.3.9.5.3.3","topic.416","utterance","Pri 22. členu je Izvršni svet danes sam predlagal svoj amandma, ki se glasi: v drugi alinei 22. člena se za besedama ""osnovnih sredstvih"" doda besedilo ""in gospodarskih objektih na kmetijah"". Tudi osnovni tekst zakona je sicer to vključeval, ampak na posebno vztrajanje dveh poslancev Kmečke zveze je potem Izvršni svet predlagal, da se to še posebej napiše, čeprav je to že vključeno v besedilo."
"parl.DruzPolZb","seja",23,"","","","KopacJanez1961",0,"DruzPolZb.1991-08-28.s023-03.sp-238","DruzPolZb.1991-08-28.s023-03.sp-238.7",DruzPolZb.1991-08-28.s023-03.toc-item1,"taxonomy.3.9.5.3.3","topic.416","utterance","Pri 24. členu naj bi zbor sprejel amandma Odbora za proračun in javne finance, ki se glasi: doda se novo poglavje ""KAZENSKE DOLOČBE""; in potem se tukaj predvideva denarna kazen za ""tista trgovska podjetja in za tiste osebne odgovorne v teh trgovskih podjetjih, ki tega prispevka ne obračunajo in ne nakažejo v proračun""."
"parl.DruzPolZb","seja",23,"","","","KopacJanez1961",0,"DruzPolZb.1991-08-28.s023-03.sp-238","DruzPolZb.1991-08-28.s023-03.sp-238.8",DruzPolZb.1991-08-28.s023-03.toc-item1,"taxonomy.3.9.5.3.3","topic.416","utterance","Potem delovna skupina predlaga tudi, da Družbenopolitični zbor umakne amandma k tretjemu odstavku 9. člena, ki smo ga zadnjič sprejeli, in to je tisti amandma, ki govori, da se od katastrskega dohodka ne glede na to, kakšen je, plača prispevek. Zakon v osnovnem tekstu pa govori, da se od katastrskega dohodka, ki je nižji od 3.600 dinarjev, ne obračunava ta posebni prispevek. Gre pa povsem za ekonomijo, kajti obračunavanje in nakazovanje prispevka od katastrskega dohodka, ki je nižji od 3.600 dinarjev na leto stane več kot stane ta prispevek. To je vse."
"parl.DruzPolZb","seja",23,"","","","KopacJanez1961",0,"DruzPolZb.1991-08-28.s023-03.sp-238","DruzPolZb.1991-08-28.s023-03.sp-238.9",DruzPolZb.1991-08-28.s023-03.toc-item1,"taxonomy.3.9.5.3.3","topic.416","utterance","Predlagal bi, da te amandmaje, s katerimi se strinjajo brez rezerve vsi: Zakonodajno-pravna komisija, Izvršni svet, delovna skupina soglasno, sprejmete, da bomo končno dobili ta zakon. Hvala lepa."
"parl.DruzPolZb","seja",23,"","","","",0,"DruzPolZb.1991-08-28.s023-03.sp-239","DruzPolZb.1991-08-28.s023-03.sp-239.1",DruzPolZb.1991-08-28.s023-03.toc-item1,"","","speaker","PREDSEDNIK DR. LUDVIK TOPLAK:"
"parl.DruzPolZb","seja",23,"","","","ToplakLudvik1942",1,"DruzPolZb.1991-08-28.s023-03.sp-239","DruzPolZb.1991-08-28.s023-03.sp-239.2",DruzPolZb.1991-08-28.s023-03.toc-item1,"taxonomy.3.9.5.3.3","topic.416","utterance","Hvala lepa. Odpiram razpravo. Če ni razprave, dajem na glasovanje posamezne predloge."
"parl.DruzPolZb","seja",23,"","","","ToplakLudvik1942",1,"DruzPolZb.1991-08-28.s023-03.sp-239","DruzPolZb.1991-08-28.s023-03.sp-239.3",DruzPolZb.1991-08-28.s023-03.toc-item1,"taxonomy.3.9.5.3.3","topic.416","utterance","Delovna skupina predlaga Družbenopolitičnemu zboru, Zboru združenega dela, predvsem našemu zboru, da sprejme naslednje amandmaje: k 1. členu amandma Zakonodajno-pravne komisije, ki glasi: črta se tretji odstavek tega člena. Želi kdo razpravljati? Če ne, glasujemo."
"parl.DruzPolZb","seja",23,"","","","ToplakLudvik1942",1,"DruzPolZb.1991-08-28.s023-03.sp-239","DruzPolZb.1991-08-28.s023-03.sp-239.4",DruzPolZb.1991-08-28.s023-03.toc-item1,"taxonomy.3.9.5.3.3","topic.416","utterance","Kdo je za ta amandma?"
"parl.DruzPolZb","seja",23,"","","","",0,"DruzPolZb.1991-08-28.s023-03.sp-239","DruzPolZb.1991-08-28.s023-03.sp-239.5",DruzPolZb.1991-08-28.s023-03.toc-item1,"","","vote","46 delegatov za."
"parl.DruzPolZb","seja",23,"","","","ToplakLudvik1942",1,"DruzPolZb.1991-08-28.s023-03.sp-239","DruzPolZb.1991-08-28.s023-03.sp-239.6",DruzPolZb.1991-08-28.s023-03.toc-item1,"taxonomy.3.9.5.3.3","topic.416","utterance","Kdo je proti?"
"parl.DruzPolZb","seja",23,"","","","",0,"DruzPolZb.1991-08-28.s023-03.sp-239","DruzPolZb.1991-08-28.s023-03.sp-239.7",DruzPolZb.1991-08-28.s023-03.toc-item1,"","","vote","Nihče."
"parl.DruzPolZb","seja",23,"","","","ToplakLudvik1942",1,"DruzPolZb.1991-08-28.s023-03.sp-239","DruzPolZb.1991-08-28.s023-03.sp-239.8",DruzPolZb.1991-08-28.s023-03.toc-item1,"taxonomy.3.9.5.3.3","topic.416","utterance","Kdo se vzdrži?"
"parl.DruzPolZb","seja",23,"","","","",0,"DruzPolZb.1991-08-28.s023-03.sp-239","DruzPolZb.1991-08-28.s023-03.sp-239.9",DruzPolZb.1991-08-28.s023-03.toc-item1,"","","vote","Nihče."
"parl.DruzPolZb","seja",23,"","","","ToplakLudvik1942",1,"DruzPolZb.1991-08-28.s023-03.sp-239","DruzPolZb.1991-08-28.s023-03.sp-239.10",DruzPolZb.1991-08-28.s023-03.toc-item1,"taxonomy.3.9.5.3.3","topic.416","utterance","Amandma je soglasno izglasovan."
"parl.DruzPolZb","seja",23,"","","","ToplakLudvik1942",1,"DruzPolZb.1991-08-28.s023-03.sp-239","DruzPolZb.1991-08-28.s023-03.sp-239.11",DruzPolZb.1991-08-28.s023-03.toc-item1,"taxonomy.3.9.5.3.3","topic.416","utterance","Dalje, predlasga se amandma k 2. členu. To je amandma Odbora za proračun in javne finance, ki se glasi: za besedama ""od pokojnin"" se dodajo besede ""ter katastrskega dohodka"". Želi kdo razpravo? Če ne, glasujemo."
"parl.DruzPolZb","seja",23,"","","","ToplakLudvik1942",1,"DruzPolZb.1991-08-28.s023-03.sp-239","DruzPolZb.1991-08-28.s023-03.sp-239.12",DruzPolZb.1991-08-28.s023-03.toc-item1,"taxonomy.3.9.5.3.3","topic.416","utterance","Kdo je za?"
"parl.DruzPolZb","seja",23,"","","","",0,"DruzPolZb.1991-08-28.s023-03.sp-239","DruzPolZb.1991-08-28.s023-03.sp-239.13",DruzPolZb.1991-08-28.s023-03.toc-item1,"","","vote","46 delegatov za."
"parl.DruzPolZb","seja",23,"","","","ToplakLudvik1942",1,"DruzPolZb.1991-08-28.s023-03.sp-239","DruzPolZb.1991-08-28.s023-03.sp-239.14",DruzPolZb.1991-08-28.s023-03.toc-item1,"taxonomy.3.9.5.3.3","topic.416","utterance","Kdo je proti?"
"parl.DruzPolZb","seja",23,"","","","",0,"DruzPolZb.1991-08-28.s023-03.sp-239","DruzPolZb.1991-08-28.s023-03.sp-239.15",DruzPolZb.1991-08-28.s023-03.toc-item1,"","","vote","Nihče."
"parl.DruzPolZb","seja",23,"","","","ToplakLudvik1942",1,"DruzPolZb.1991-08-28.s023-03.sp-239","DruzPolZb.1991-08-28.s023-03.sp-239.16",DruzPolZb.1991-08-28.s023-03.toc-item1,"taxonomy.3.9.5.3.3","topic.416","utterance","Kdo se vzdrži?"
"parl.DruzPolZb","seja",23,"","","","",0,"DruzPolZb.1991-08-28.s023-03.sp-239","DruzPolZb.1991-08-28.s023-03.sp-239.17",DruzPolZb.1991-08-28.s023-03.toc-item1,"","","vote","Nihče."
"parl.DruzPolZb","seja",23,"","","","ToplakLudvik1942",1,"DruzPolZb.1991-08-28.s023-03.sp-239","DruzPolZb.1991-08-28.s023-03.sp-239.18",DruzPolZb.1991-08-28.s023-03.toc-item1,"taxonomy.3.9.5.3.3","topic.416","utterance","Ugotavljam, da je amandma s šestinštiridesetimi glasovi za soglasno sprejet."
"parl.DruzPolZb","seja",23,"","","","ToplakLudvik1942",1,"DruzPolZb.1991-08-28.s023-03.sp-239","DruzPolZb.1991-08-28.s023-03.sp-239.19",DruzPolZb.1991-08-28.s023-03.toc-item1,"taxonomy.3.9.5.3.3","topic.416","utterance","Prehajamo na naslednji amandma k 17. členu. To je amandma Odbora za proračun in javne finance, ki se glasi: za 17. členom se doda nov 17.a člen, ki se glasi: ""Glede postopka in načina za plačevanje posebnega prispevka k ceni določenih proizvodov ter zamudnih obresti za nepravočasno plačilo, se smiselno uporabljajo določbe zakona o začasnih ukrepih o davku od prometa proizvodov in storitev"" (Uradni list SFRJ, št. 4/91)."" Želi kdo razpravo? Če ne, preidemo na glasovanje."
"parl.DruzPolZb","seja",23,"","","","ToplakLudvik1942",1,"DruzPolZb.1991-08-28.s023-03.sp-239","DruzPolZb.1991-08-28.s023-03.sp-239.20",DruzPolZb.1991-08-28.s023-03.toc-item1,"taxonomy.3.9.5.3.3","topic.416","utterance","Kdor je za, naj dvigne zeleni karton!"
"parl.DruzPolZb","seja",23,"","","","",0,"DruzPolZb.1991-08-28.s023-03.sp-239","DruzPolZb.1991-08-28.s023-03.sp-239.21",DruzPolZb.1991-08-28.s023-03.toc-item1,"","","vote","47 delegatov za."
"parl.DruzPolZb","seja",23,"","","","ToplakLudvik1942",1,"DruzPolZb.1991-08-28.s023-03.sp-239","DruzPolZb.1991-08-28.s023-03.sp-239.22",DruzPolZb.1991-08-28.s023-03.toc-item1,"taxonomy.3.9.5.3.3","topic.416","utterance","Je kdo proti?"
"parl.DruzPolZb","seja",23,"","","","",0,"DruzPolZb.1991-08-28.s023-03.sp-239","DruzPolZb.1991-08-28.s023-03.sp-239.23",DruzPolZb.1991-08-28.s023-03.toc-item1,"","","vote","Nihče."
"parl.DruzPolZb","seja",23,"","","","ToplakLudvik1942",1,"DruzPolZb.1991-08-28.s023-03.sp-239","DruzPolZb.1991-08-28.s023-03.sp-239.24",DruzPolZb.1991-08-28.s023-03.toc-item1,"taxonomy.3.9.5.3.3","topic.416","utterance","Kdo se vzdrži?"
"parl.DruzPolZb","seja",23,"","","","",0,"DruzPolZb.1991-08-28.s023-03.sp-239","DruzPolZb.1991-08-28.s023-03.sp-239.25",DruzPolZb.1991-08-28.s023-03.toc-item1,"","","vote","Nihče."
"parl.DruzPolZb","seja",23,"","","","ToplakLudvik1942",1,"DruzPolZb.1991-08-28.s023-03.sp-239","DruzPolZb.1991-08-28.s023-03.sp-239.26",DruzPolZb.1991-08-28.s023-03.toc-item1,"taxonomy.3.9.5.3.3","topic.416","utterance","Ugotavljam, da je s sedeminštiridesetimi glasovi za amandma sprejet."
"parl.DruzPolZb","seja",23,"","","","ToplakLudvik1942",1,"DruzPolZb.1991-08-28.s023-03.sp-239","DruzPolZb.1991-08-28.s023-03.sp-239.27",DruzPolZb.1991-08-28.s023-03.toc-item1,"taxonomy.3.9.5.3.3","topic.416","utterance","Preidemo na amandma k 18. členu, to je amandma Zakonodajno-pravne komisije, kjer predlaga, da naj se v začetku besedila namesto besede ""višina škode"" vstavi besede ""neposredna škoda in njena višina"". Želi kdo razpravo? Če ne, glasujemo."
"parl.DruzPolZb","seja",23,"","","","ToplakLudvik1942",1,"DruzPolZb.1991-08-28.s023-03.sp-239","DruzPolZb.1991-08-28.s023-03.sp-239.28",DruzPolZb.1991-08-28.s023-03.toc-item1,"taxonomy.3.9.5.3.3","topic.416","utterance","Kdo je za?"
"parl.DruzPolZb","seja",23,"","","","",0,"DruzPolZb.1991-08-28.s023-03.sp-239","DruzPolZb.1991-08-28.s023-03.sp-239.29",DruzPolZb.1991-08-28.s023-03.toc-item1,"","","vote","45 delegatov za."
